iter	Logloss
180	0.3084977838
181	0.3082670937
182	0.3080217446
183	0.3077791627
184	0.3075068207
185	0.3072883689
186	0.3070641287
187	0.3067933864
188	0.3065414378
189	0.3063216289
190	0.3060576112
191	0.3056871988
192	0.3054131179
193	0.3052094218
194	0.3050005319
195	0.3047368559
196	0.3044784975
197	0.3041808464
198	0.3039679043
199	0.3037241306
200	0.303398514
201	0.3030919274
202	0.3028597972
203	0.3026520443
204	0.3024127492
205	0.3022274968
206	0.301986491
207	0.3018028495
208	0.3016081327
209	0.3014592678
210	0.3012171954
211	0.3010677356
212	0.3009139711
213	0.3007110659
214	0.3004980293
215	0.3003180849
216	0.3000288899
217	0.2998616709
218	0.2996385882
219	0.2994564851
220	0.2992982358
221	0.2991747959
222	0.299018009
223	0.2988511882
224	0.2986650911
225	0.2984952447
226	0.2983013923
227	0.2981614553
228	0.2980501758
229	0.2979633756
230	0.2977748302
231	0.2976267761
232	0.2974971969
233	0.2972727856
234	0.2971392246
235	0.2969833772
236	0.296844118
237	0.296692723
238	0.2965007771
239	0.2963803287
240	0.2962281765
241	0.296090179
242	0.2959596498
243	0.2958260651
244	0.295684682
245	0.2955756424
246	0.295437393
247	0.2952581644
248	0.2951311161
249	0.294969199
250	0.2947910601
251	0.294679384
252	0.2945829187
253	0.2944338012
254	0.2943234451
255	0.2942213141
256	0.2940097906
257	0.293855643
258	0.293740515
259	0.2936604766
260	0.2935718991
261	0.2934131687
262	0.2933322137
263	0.293128875
264	0.2930321006
265	0.2929187297
266	0.2927642084
267	0.2925805196
268	0.2924634578
269	0.2923956572
270	0.2923251822
271	0.2922488005
272	0.2920542702
273	0.2919052734
274	0.2918136301
275	0.2916941598
276	0.2915957868
277	0.2914785884
278	0.291361517
279	0.2912677519
280	0.2911353717
281	0.291019406
282	0.2908493551
283	0.2907199461
284	0.2906287096
285	0.2905024919
286	0.290409061
287	0.2903167682
288	0.2902053788
289	0.2901242175
290	0.2900581318
291	0.2899539635
292	0.2898410812
293	0.2896968181
294	0.2896137446
295	0.289497211
296	0.2894118417
297	0.289328469
298	0.2892657573
299	0.2891806152
300	0.2891011219
301	0.2889837464
302	0.2888838232
303	0.2887699473
304	0.2886887988
305	0.2886091077
306	0.2885239219
307	0.2884425726
308	0.2883766785
309	0.2883058726
310	0.2881920824
311	0.2881186258
312	0.288045561
313	0.2879381234
314	0.2878809845
315	0.2877352422
316	0.2876243062
317	0.2875360258
318	0.2874193458
319	0.2873177434
320	0.2872468305
321	0.2871877432
322	0.2871093756
323	0.2870321837
324	0.2869579459
325	0.2868931916
326	0.2868123101
327	0.286737923
328	0.2866774753
329	0.2866235224
330	0.2865799182
331	0.2864755722
332	0.2864057603
333	0.2863302097
334	0.286200025
335	0.286104651
336	0.2860134269
337	0.2859079727
338	0.2858092865
339	0.2857632468
340	0.2856839317
341	0.2855775283
342	0.2855345816
343	0.2854669467
344	0.2853836332
345	0.2853460691
346	0.2852497254
347	0.2851731562
348	0.2850950973
349	0.2850128353
350	0.2849838713
351	0.2849057194
352	0.2848209368
353	0.284772964
354	0.2847213038
355	0.2846615334
356	0.284588687
357	0.2845173731
358	0.2844544879
359	0.2843844015
360	0.2843248751
361	0.2842430489
362	0.2841647025
363	0.2840981828
364	0.2840131086
365	0.283937709
366	0.2838751519
367	0.2838093822
368	0.2837496332
369	0.2836950418
370	0.2836538569
371	0.2836012678
372	0.2835500387
373	0.283491726
374	0.283450862
375	0.2834358302
376	0.2833697964
377	0.2833152196
378	0.2832671968
379	0.2832159256
380	0.2831431818
381	0.283106789
382	0.2830633426
383	0.283002542
384	0.2829505563
385	0.2829229378
386	0.2828506519
387	0.2828467274
388	0.2827966165
389	0.2827369353
390	0.2826876948
391	0.2826462789
392	0.282567312
393	0.2825355799
394	0.2824708457
395	0.2824270689
396	0.2824233015
397	0.2823820414
398	0.2823061873
399	0.2822233682
400	0.2821272554
401	0.2820865633
402	0.2820446167
403	0.2820010769
404	0.2819517427
405	0.281888788
406	0.28183074
407	0.2817886317
408	0.2817255531
409	0.2816765745
410	0.281675169
411	0.2816259475
412	0.2815686668
413	0.2815022022
414	0.2814249446
415	0.2813915418
416	0.2813340751
417	0.2813046319
418	0.2812556639
419	0.2811964779
420	0.2811620942
421	0.2811022126
422	0.2810642063
423	0.2810191316
424	0.2809581974
425	0.2809230675
426	0.2808580579
427	0.2808105824
428	0.2807547524
429	0.2807372562
430	0.2806826623
431	0.2806432834
432	0.280603631
433	0.2805583272
434	0.280509985
435	0.2804817269
436	0.2804302515
437	0.280384018
438	0.2803430191
439	0.280306484
440	0.280240129
441	0.2802083709
442	0.2801442863
443	0.2801186785
444	0.2800841405
445	0.2800296656
446	0.2799741104
447	0.2799283972
448	0.2799054609
449	0.2798600375
450	0.2798356164
451	0.2797986275
452	0.2797558979
453	0.2797377243
454	0.2797066343
455	0.2796648864
456	0.2795896594
457	0.2795313782
458	0.279487873
459	0.2794509264
460	0.2794065349
461	0.2793849235
462	0.2793404565
463	0.2792924971
464	0.2792415598
465	0.2792113889
466	0.2791836603
467	0.2791447259
468	0.2791182436
469	0.2790786703
470	0.2790296199
471	0.2789617885
472	0.278935218
473	0.2788921088
474	0.2788436919
475	0.2788084069
476	0.2787651424
477	0.2787213319
478	0.2786901555
479	0.2786407949
480	0.2786143994
481	0.2785964293
482	0.2785439628
483	0.2785201888
484	0.2784737697
485	0.2784377802
486	0.278403329
487	0.2783506026
488	0.278324045
489	0.2782864806
490	0.2782493747
491	0.2782081745
492	0.278162736
493	0.2781093083
494	0.2780728668
495	0.2780426214
496	0.2779989501
497	0.2779462673
498	0.2779025093
499	0.2778451855
500	0.2778174504
501	0.27778275
502	0.2777176497
503	0.2776812432
504	0.2776455068
505	0.2775994734
506	0.2775539534
507	0.277510447
508	0.277465151
509	0.2774196928
510	0.2773852266
511	0.2773074321
512	0.277274337
513	0.2772330375
514	0.2771921983
515	0.2771592645
516	0.27715849
517	0.2771238431
518	0.277089376
519	0.2770583933
520	0.2770316287
521	0.2770070445
522	0.2769722055
523	0.2769341703
524	0.2768942508
525	0.2768568248
526	0.2768322488
527	0.2767800724
528	0.2767468321
529	0.2767382104
530	0.276706539
531	0.2766735531
532	0.2766420458
533	0.2766165786
534	0.2765842234
535	0.2765361492
536	0.2765133221
537	0.2764868021
538	0.2764626732
539	0.2764341213
540	0.2763797757
541	0.2763362643
542	0.2762990257
543	0.2762789841
544	0.2762476956
545	0.2762205577
546	0.2761920128
547	0.2761505415
548	0.2761238755
549	0.2760962574
550	0.2760562337
551	0.2759989929
552	0.275971839
553	0.2759401328
