uniqueid,bank_account
uniqueid_6143 x Kenya,No
uniqueid_6144 x Kenya,No
uniqueid_6145 x Kenya,No
uniqueid_6146 x Kenya,No
uniqueid_6147 x Kenya,No
uniqueid_6148 x Kenya,No
uniqueid_6149 x Kenya,No
uniqueid_6150 x Kenya,No
uniqueid_6151 x Kenya,No
uniqueid_6152 x Kenya,No
uniqueid_6153 x Kenya,No
uniqueid_6154 x Kenya,Yes
uniqueid_6155 x Kenya,No
uniqueid_6156 x Kenya,No
uniqueid_6157 x Kenya,No
uniqueid_6158 x Kenya,No
uniqueid_6159 x Kenya,No
uniqueid_6160 x Kenya,No
uniqueid_6161 x Kenya,No
uniqueid_6162 x Kenya,No
uniqueid_6163 x Kenya,No
uniqueid_6164 x Kenya,No
uniqueid_6165 x Kenya,No
uniqueid_6166 x Kenya,No
uniqueid_6167 x Kenya,No
uniqueid_6168 x Kenya,Yes
uniqueid_6169 x Kenya,No
uniqueid_6170 x Kenya,No
uniqueid_6171 x Kenya,No
uniqueid_6172 x Kenya,No
uniqueid_6173 x Kenya,No
uniqueid_6174 x Kenya,No
uniqueid_6175 x Kenya,No
uniqueid_6176 x Kenya,No
uniqueid_6177 x Kenya,No
uniqueid_6178 x Kenya,No
uniqueid_6179 x Kenya,No
uniqueid_6180 x Kenya,No
uniqueid_6181 x Kenya,No
uniqueid_6182 x Kenya,No
uniqueid_6183 x Kenya,No
uniqueid_6184 x Kenya,Yes
uniqueid_6185 x Kenya,No
uniqueid_6186 x Kenya,No
uniqueid_6187 x Kenya,No
uniqueid_6188 x Kenya,No
uniqueid_6189 x Kenya,No
uniqueid_6190 x Kenya,No
uniqueid_6191 x Kenya,No
uniqueid_6192 x Kenya,No
uniqueid_6193 x Kenya,No
uniqueid_6194 x Kenya,No
uniqueid_6195 x Kenya,No
uniqueid_6196 x Kenya,No
uniqueid_6197 x Kenya,No
uniqueid_6198 x Kenya,Yes
uniqueid_6199 x Kenya,No
uniqueid_6200 x Kenya,No
uniqueid_6201 x Kenya,No
uniqueid_6202 x Kenya,No
uniqueid_6203 x Kenya,No
uniqueid_6204 x Kenya,No
uniqueid_6205 x Kenya,No
uniqueid_6206 x Kenya,No
uniqueid_6207 x Kenya,No
uniqueid_6208 x Kenya,No
uniqueid_6209 x Kenya,No
uniqueid_6210 x Kenya,No
uniqueid_6211 x Kenya,No
uniqueid_6212 x Kenya,No
uniqueid_6213 x Kenya,No
uniqueid_6214 x Kenya,No
uniqueid_6215 x Kenya,No
uniqueid_6216 x Kenya,No
uniqueid_6217 x Kenya,No
uniqueid_6218 x Kenya,Yes
uniqueid_6219 x Kenya,No
uniqueid_6220 x Kenya,No
uniqueid_6221 x Kenya,No
uniqueid_6222 x Kenya,No
uniqueid_6223 x Kenya,No
uniqueid_6224 x Kenya,Yes
uniqueid_6225 x Kenya,No
uniqueid_6226 x Kenya,No
uniqueid_6227 x Kenya,No
uniqueid_6228 x Kenya,Yes
uniqueid_6229 x Kenya,No
uniqueid_6230 x Kenya,No
uniqueid_6231 x Kenya,No
uniqueid_6232 x Kenya,No
uniqueid_6233 x Kenya,No
uniqueid_6234 x Kenya,Yes
uniqueid_6235 x Kenya,No
uniqueid_6236 x Kenya,Yes
uniqueid_6237 x Kenya,No
uniqueid_6238 x Kenya,No
uniqueid_6239 x Kenya,No
uniqueid_6240 x Kenya,Yes
uniqueid_6241 x Kenya,No
uniqueid_6242 x Kenya,Yes
uniqueid_6243 x Kenya,No
uniqueid_6244 x Kenya,No
uniqueid_6245 x Kenya,No
uniqueid_6246 x Kenya,No
uniqueid_6247 x Kenya,No
uniqueid_6248 x Kenya,No
uniqueid_6249 x Kenya,No
uniqueid_6250 x Kenya,No
uniqueid_6251 x Kenya,No
uniqueid_6252 x Kenya,No
uniqueid_6253 x Kenya,No
uniqueid_6254 x Kenya,No
uniqueid_6255 x Kenya,Yes
uniqueid_6256 x Kenya,Yes
uniqueid_6257 x Kenya,No
uniqueid_6258 x Kenya,No
uniqueid_6259 x Kenya,No
uniqueid_6260 x Kenya,No
uniqueid_6261 x Kenya,No
uniqueid_6262 x Kenya,No
uniqueid_6263 x Kenya,No
uniqueid_6264 x Kenya,No
uniqueid_6265 x Kenya,No
uniqueid_6266 x Kenya,No
uniqueid_6267 x Kenya,Yes
uniqueid_6268 x Kenya,No
uniqueid_6269 x Kenya,No
uniqueid_6270 x Kenya,No
uniqueid_6271 x Kenya,No
uniqueid_6272 x Kenya,No
uniqueid_6273 x Kenya,No
uniqueid_6274 x Kenya,No
uniqueid_6275 x Kenya,No
uniqueid_6276 x Kenya,No
uniqueid_6277 x Kenya,No
uniqueid_6278 x Kenya,No
uniqueid_6279 x Kenya,No
uniqueid_6280 x Kenya,No
uniqueid_6281 x Kenya,No
uniqueid_6282 x Kenya,No
uniqueid_6283 x Kenya,No
uniqueid_6284 x Kenya,No
uniqueid_6285 x Kenya,No
uniqueid_6286 x Kenya,No
uniqueid_6287 x Kenya,No
uniqueid_6288 x Kenya,No
uniqueid_6289 x Kenya,No
uniqueid_6290 x Kenya,No
uniqueid_6291 x Kenya,No
uniqueid_6292 x Kenya,No
uniqueid_6293 x Kenya,No
uniqueid_6294 x Kenya,No
uniqueid_6295 x Kenya,No
uniqueid_6296 x Kenya,No
uniqueid_6297 x Kenya,No
uniqueid_6298 x Kenya,No
uniqueid_6299 x Kenya,No
uniqueid_6300 x Kenya,No
uniqueid_6301 x Kenya,No
uniqueid_6302 x Kenya,No
uniqueid_6303 x Kenya,No
uniqueid_6304 x Kenya,No
uniqueid_6305 x Kenya,No
uniqueid_6306 x Kenya,Yes
uniqueid_6307 x Kenya,No
uniqueid_6308 x Kenya,No
uniqueid_6309 x Kenya,No
uniqueid_6310 x Kenya,No
uniqueid_6311 x Kenya,No
uniqueid_6312 x Kenya,No
uniqueid_6313 x Kenya,No
uniqueid_6314 x Kenya,No
uniqueid_6315 x Kenya,No
uniqueid_6316 x Kenya,No
uniqueid_6317 x Kenya,No
uniqueid_6318 x Kenya,No
uniqueid_6319 x Kenya,Yes
uniqueid_6320 x Kenya,No
uniqueid_6321 x Kenya,No
uniqueid_6322 x Kenya,No
uniqueid_6323 x Kenya,No
uniqueid_6324 x Kenya,No
uniqueid_6325 x Kenya,No
uniqueid_6326 x Kenya,Yes
uniqueid_6327 x Kenya,Yes
uniqueid_6328 x Kenya,Yes
uniqueid_6329 x Kenya,No
uniqueid_6330 x Kenya,No
uniqueid_6331 x Kenya,No
uniqueid_6332 x Kenya,No
uniqueid_6333 x Kenya,No
uniqueid_6334 x Kenya,No
uniqueid_6335 x Kenya,No
uniqueid_6336 x Kenya,No
uniqueid_6337 x Kenya,No
uniqueid_6338 x Kenya,No
uniqueid_6339 x Kenya,Yes
uniqueid_6340 x Kenya,No
uniqueid_6341 x Kenya,Yes
uniqueid_6342 x Kenya,No
uniqueid_6343 x Kenya,No
uniqueid_6344 x Kenya,No
uniqueid_6345 x Kenya,No
uniqueid_6346 x Kenya,No
uniqueid_6347 x Kenya,No
uniqueid_6348 x Kenya,No
uniqueid_6349 x Kenya,No
uniqueid_6350 x Kenya,No
uniqueid_6351 x Kenya,No
uniqueid_6352 x Kenya,No
uniqueid_6353 x Kenya,No
uniqueid_6354 x Kenya,No
uniqueid_6355 x Kenya,No
uniqueid_6356 x Kenya,No
uniqueid_6357 x Kenya,No
uniqueid_6358 x Kenya,No
uniqueid_6359 x Kenya,No
uniqueid_6360 x Kenya,No
uniqueid_6361 x Kenya,No
uniqueid_6362 x Kenya,No
uniqueid_6363 x Kenya,No
uniqueid_6364 x Kenya,No
uniqueid_6365 x Kenya,No
uniqueid_6366 x Kenya,No
uniqueid_6367 x Kenya,No
uniqueid_6368 x Kenya,No
uniqueid_6369 x Kenya,No
uniqueid_6370 x Kenya,No
uniqueid_6371 x Kenya,No
uniqueid_6372 x Kenya,No
uniqueid_6373 x Kenya,No
uniqueid_6374 x Kenya,Yes
uniqueid_6375 x Kenya,No
uniqueid_6376 x Kenya,No
uniqueid_6377 x Kenya,No
uniqueid_6378 x Kenya,Yes
uniqueid_6379 x Kenya,No
uniqueid_6380 x Kenya,No
uniqueid_6381 x Kenya,Yes
uniqueid_6382 x Kenya,No
uniqueid_6383 x Kenya,No
uniqueid_6384 x Kenya,No
uniqueid_6385 x Kenya,Yes
uniqueid_6386 x Kenya,No
uniqueid_6387 x Kenya,No
uniqueid_6388 x Kenya,No
uniqueid_6389 x Kenya,No
uniqueid_6390 x Kenya,Yes
uniqueid_6391 x Kenya,No
uniqueid_6392 x Kenya,No
uniqueid_6393 x Kenya,No
uniqueid_6394 x Kenya,No
uniqueid_6395 x Kenya,No
uniqueid_6396 x Kenya,Yes
uniqueid_6397 x Kenya,No
uniqueid_6398 x Kenya,No
uniqueid_6399 x Kenya,No
uniqueid_6400 x Kenya,No
uniqueid_6401 x Kenya,No
uniqueid_6402 x Kenya,No
uniqueid_6403 x Kenya,No
uniqueid_6404 x Kenya,No
uniqueid_6405 x Kenya,Yes
uniqueid_6406 x Kenya,No
uniqueid_6407 x Kenya,Yes
uniqueid_6408 x Kenya,No
uniqueid_6409 x Kenya,No
uniqueid_6410 x Kenya,No
uniqueid_6411 x Kenya,No
uniqueid_6412 x Kenya,No
uniqueid_6413 x Kenya,No
uniqueid_6414 x Kenya,No
uniqueid_6415 x Kenya,Yes
uniqueid_6416 x Kenya,No
uniqueid_6417 x Kenya,No
uniqueid_6418 x Kenya,Yes
uniqueid_6419 x Kenya,No
uniqueid_6420 x Kenya,No
uniqueid_6421 x Kenya,No
uniqueid_6422 x Kenya,No
uniqueid_6423 x Kenya,No
uniqueid_6424 x Kenya,No
uniqueid_6425 x Kenya,No
uniqueid_6426 x Kenya,No
uniqueid_6427 x Kenya,No
uniqueid_6428 x Kenya,No
uniqueid_6429 x Kenya,No
uniqueid_6430 x Kenya,No
uniqueid_6431 x Kenya,No
uniqueid_6432 x Kenya,No
uniqueid_6433 x Kenya,No
uniqueid_6434 x Kenya,No
uniqueid_6435 x Kenya,No
uniqueid_6436 x Kenya,No
uniqueid_6437 x Kenya,No
uniqueid_6438 x Kenya,No
uniqueid_6439 x Kenya,No
uniqueid_6440 x Kenya,No
uniqueid_6441 x Kenya,No
uniqueid_6442 x Kenya,No
uniqueid_6443 x Kenya,No
uniqueid_6444 x Kenya,No
uniqueid_6445 x Kenya,No
uniqueid_6446 x Kenya,No
uniqueid_6447 x Kenya,No
uniqueid_6448 x Kenya,No
uniqueid_6449 x Kenya,No
uniqueid_6450 x Kenya,No
uniqueid_6451 x Kenya,No
uniqueid_6452 x Kenya,No
uniqueid_6453 x Kenya,Yes
uniqueid_6454 x Kenya,No
uniqueid_6455 x Kenya,No
uniqueid_6456 x Kenya,No
uniqueid_6457 x Kenya,Yes
uniqueid_6458 x Kenya,No
uniqueid_6459 x Kenya,No
uniqueid_6460 x Kenya,Yes
uniqueid_6461 x Kenya,No
uniqueid_6462 x Kenya,No
uniqueid_6463 x Kenya,No
uniqueid_6464 x Kenya,No
uniqueid_6465 x Kenya,No
uniqueid_6466 x Kenya,No
uniqueid_6467 x Kenya,No
uniqueid_6468 x Kenya,No
uniqueid_6469 x Kenya,No
uniqueid_6470 x Kenya,No
uniqueid_6471 x Kenya,No
uniqueid_6472 x Kenya,No
uniqueid_6473 x Kenya,No
uniqueid_6474 x Kenya,Yes
uniqueid_6475 x Kenya,No
uniqueid_6476 x Kenya,No
uniqueid_6477 x Kenya,No
uniqueid_6478 x Kenya,No
uniqueid_6479 x Kenya,No
uniqueid_6480 x Kenya,No
uniqueid_6481 x Kenya,No
uniqueid_6482 x Kenya,No
uniqueid_6483 x Kenya,No
uniqueid_6484 x Kenya,No
uniqueid_6485 x Kenya,Yes
uniqueid_6486 x Kenya,No
uniqueid_6487 x Kenya,No
uniqueid_6488 x Kenya,No
uniqueid_6489 x Kenya,Yes
uniqueid_6490 x Kenya,No
uniqueid_6491 x Kenya,No
uniqueid_6492 x Kenya,No
uniqueid_6493 x Kenya,No
uniqueid_6494 x Kenya,No
uniqueid_6495 x Kenya,No
uniqueid_6496 x Kenya,No
uniqueid_6497 x Kenya,No
uniqueid_6498 x Kenya,No
uniqueid_6499 x Kenya,No
uniqueid_6500 x Kenya,No
uniqueid_6501 x Kenya,No
uniqueid_6502 x Kenya,No
uniqueid_6503 x Kenya,Yes
uniqueid_6504 x Kenya,No
uniqueid_6505 x Kenya,Yes
uniqueid_6506 x Kenya,No
uniqueid_6507 x Kenya,No
uniqueid_6508 x Kenya,No
uniqueid_6509 x Kenya,No
uniqueid_6510 x Kenya,Yes
uniqueid_6511 x Kenya,No
uniqueid_6512 x Kenya,No
uniqueid_6513 x Kenya,No
uniqueid_6514 x Kenya,Yes
uniqueid_6515 x Kenya,No
uniqueid_6516 x Kenya,Yes
uniqueid_6517 x Kenya,No
uniqueid_6518 x Kenya,No
uniqueid_6519 x Kenya,No
uniqueid_6520 x Kenya,No
uniqueid_6521 x Kenya,No
uniqueid_6522 x Kenya,No
uniqueid_6523 x Kenya,No
uniqueid_6524 x Kenya,Yes
uniqueid_6525 x Kenya,No
uniqueid_6526 x Kenya,No
uniqueid_6527 x Kenya,No
uniqueid_6528 x Kenya,No
uniqueid_6529 x Kenya,No
uniqueid_6530 x Kenya,No
uniqueid_6531 x Kenya,No
uniqueid_6532 x Kenya,No
uniqueid_6533 x Kenya,No
uniqueid_6534 x Kenya,No
uniqueid_6535 x Kenya,No
uniqueid_6536 x Kenya,No
uniqueid_6537 x Kenya,No
uniqueid_6538 x Kenya,No
uniqueid_6539 x Kenya,No
uniqueid_6540 x Kenya,Yes
uniqueid_6541 x Kenya,No
uniqueid_6542 x Kenya,Yes
uniqueid_6543 x Kenya,No
uniqueid_6544 x Kenya,No
uniqueid_6545 x Kenya,No
uniqueid_6546 x Kenya,No
uniqueid_6547 x Kenya,No
uniqueid_6548 x Kenya,No
uniqueid_6549 x Kenya,No
uniqueid_6550 x Kenya,No
uniqueid_6551 x Kenya,No
uniqueid_6552 x Kenya,No
uniqueid_6553 x Kenya,No
uniqueid_6554 x Kenya,No
uniqueid_6555 x Kenya,No
uniqueid_6556 x Kenya,No
uniqueid_6557 x Kenya,No
uniqueid_6558 x Kenya,No
uniqueid_6559 x Kenya,No
uniqueid_6560 x Kenya,Yes
uniqueid_6561 x Kenya,No
uniqueid_6562 x Kenya,No
uniqueid_6563 x Kenya,No
uniqueid_6564 x Kenya,Yes
uniqueid_6565 x Kenya,No
uniqueid_6566 x Kenya,No
uniqueid_6567 x Kenya,No
uniqueid_6568 x Kenya,No
uniqueid_6569 x Kenya,No
uniqueid_6570 x Kenya,No
uniqueid_6571 x Kenya,No
uniqueid_6572 x Kenya,No
uniqueid_6573 x Kenya,No
uniqueid_6574 x Kenya,No
uniqueid_6575 x Kenya,No
uniqueid_6576 x Kenya,No
uniqueid_6577 x Kenya,No
uniqueid_6578 x Kenya,No
uniqueid_6579 x Kenya,No
uniqueid_6580 x Kenya,No
uniqueid_6581 x Kenya,No
uniqueid_6582 x Kenya,No
uniqueid_6583 x Kenya,No
uniqueid_6584 x Kenya,No
uniqueid_6585 x Kenya,No
uniqueid_6586 x Kenya,No
uniqueid_6587 x Kenya,No
uniqueid_6588 x Kenya,No
uniqueid_6589 x Kenya,No
uniqueid_6590 x Kenya,No
uniqueid_6591 x Kenya,No
uniqueid_6592 x Kenya,No
uniqueid_6593 x Kenya,No
uniqueid_6594 x Kenya,No
uniqueid_6595 x Kenya,Yes
uniqueid_6596 x Kenya,No
uniqueid_6597 x Kenya,No
uniqueid_6598 x Kenya,No
uniqueid_6599 x Kenya,No
uniqueid_6600 x Kenya,No
uniqueid_6601 x Kenya,No
uniqueid_6602 x Kenya,No
uniqueid_6603 x Kenya,No
uniqueid_6604 x Kenya,No
uniqueid_6605 x Kenya,No
uniqueid_6606 x Kenya,No
uniqueid_6607 x Kenya,Yes
uniqueid_6608 x Kenya,No
uniqueid_6609 x Kenya,No
uniqueid_6610 x Kenya,No
uniqueid_6611 x Kenya,No
uniqueid_6612 x Kenya,Yes
uniqueid_6613 x Kenya,No
uniqueid_6614 x Kenya,No
uniqueid_6615 x Kenya,No
uniqueid_6616 x Kenya,No
uniqueid_6617 x Kenya,No
uniqueid_6618 x Kenya,No
uniqueid_6619 x Kenya,No
uniqueid_6620 x Kenya,No
uniqueid_6621 x Kenya,No
uniqueid_6622 x Kenya,No
uniqueid_6623 x Kenya,No
uniqueid_6624 x Kenya,No
uniqueid_6625 x Kenya,No
uniqueid_6626 x Kenya,No
uniqueid_6627 x Kenya,Yes
uniqueid_6628 x Kenya,Yes
uniqueid_6629 x Kenya,No
uniqueid_6630 x Kenya,No
uniqueid_6631 x Kenya,Yes
uniqueid_6632 x Kenya,Yes
uniqueid_6633 x Kenya,Yes
uniqueid_6634 x Kenya,No
uniqueid_6635 x Kenya,No
uniqueid_6636 x Kenya,No
uniqueid_6637 x Kenya,No
uniqueid_6638 x Kenya,No
uniqueid_6639 x Kenya,No
uniqueid_6640 x Kenya,No
uniqueid_6641 x Kenya,Yes
uniqueid_6642 x Kenya,No
uniqueid_6643 x Kenya,No
uniqueid_6644 x Kenya,Yes
uniqueid_6645 x Kenya,No
uniqueid_6646 x Kenya,No
uniqueid_6647 x Kenya,No
uniqueid_6648 x Kenya,No
uniqueid_6649 x Kenya,No
uniqueid_6650 x Kenya,No
uniqueid_6651 x Kenya,No
uniqueid_6652 x Kenya,No
uniqueid_6653 x Kenya,No
uniqueid_6654 x Kenya,No
uniqueid_6655 x Kenya,No
uniqueid_6656 x Kenya,No
uniqueid_6657 x Kenya,No
uniqueid_6658 x Kenya,No
uniqueid_6659 x Kenya,No
uniqueid_6660 x Kenya,No
uniqueid_6661 x Kenya,No
uniqueid_6662 x Kenya,No
uniqueid_6663 x Kenya,No
uniqueid_6664 x Kenya,Yes
uniqueid_6665 x Kenya,No
uniqueid_6666 x Kenya,No
uniqueid_6667 x Kenya,No
uniqueid_6668 x Kenya,No
uniqueid_6669 x Kenya,Yes
uniqueid_6670 x Kenya,No
uniqueid_6671 x Kenya,No
uniqueid_6672 x Kenya,No
uniqueid_6673 x Kenya,No
uniqueid_6674 x Kenya,No
uniqueid_6675 x Kenya,No
uniqueid_6676 x Kenya,Yes
uniqueid_6677 x Kenya,No
uniqueid_6678 x Kenya,No
uniqueid_6679 x Kenya,No
uniqueid_6680 x Kenya,No
uniqueid_6681 x Kenya,No
uniqueid_6682 x Kenya,No
uniqueid_6683 x Kenya,No
uniqueid_6684 x Kenya,No
uniqueid_6685 x Kenya,No
uniqueid_6686 x Kenya,No
uniqueid_6687 x Kenya,No
uniqueid_6688 x Kenya,No
uniqueid_6689 x Kenya,No
uniqueid_6690 x Kenya,No
uniqueid_6691 x Kenya,No
uniqueid_6692 x Kenya,No
uniqueid_6693 x Kenya,Yes
uniqueid_6694 x Kenya,Yes
uniqueid_6695 x Kenya,No
uniqueid_6696 x Kenya,No
uniqueid_6697 x Kenya,No
uniqueid_6698 x Kenya,No
uniqueid_6699 x Kenya,No
uniqueid_6700 x Kenya,No
uniqueid_6701 x Kenya,No
uniqueid_6702 x Kenya,No
uniqueid_6703 x Kenya,No
uniqueid_6704 x Kenya,No
uniqueid_6705 x Kenya,No
uniqueid_6706 x Kenya,No
uniqueid_6707 x Kenya,No
uniqueid_6708 x Kenya,No
uniqueid_6709 x Kenya,No
uniqueid_6710 x Kenya,No
uniqueid_6711 x Kenya,No
uniqueid_6712 x Kenya,No
uniqueid_6713 x Kenya,No
uniqueid_6714 x Kenya,No
uniqueid_6715 x Kenya,Yes
uniqueid_6716 x Kenya,No
uniqueid_6717 x Kenya,No
uniqueid_6718 x Kenya,No
uniqueid_6719 x Kenya,No
uniqueid_6720 x Kenya,No
uniqueid_6721 x Kenya,No
uniqueid_6722 x Kenya,No
uniqueid_6723 x Kenya,No
uniqueid_6724 x Kenya,Yes
uniqueid_6725 x Kenya,No
uniqueid_6726 x Kenya,No
uniqueid_6727 x Kenya,Yes
uniqueid_6728 x Kenya,No
uniqueid_6729 x Kenya,Yes
uniqueid_6730 x Kenya,No
uniqueid_6731 x Kenya,No
uniqueid_6732 x Kenya,Yes
uniqueid_6733 x Kenya,No
uniqueid_6734 x Kenya,No
uniqueid_6735 x Kenya,No
uniqueid_6736 x Kenya,No
uniqueid_6737 x Kenya,No
uniqueid_6738 x Kenya,Yes
uniqueid_6739 x Kenya,No
uniqueid_6740 x Kenya,No
uniqueid_6741 x Kenya,Yes
uniqueid_6742 x Kenya,No
uniqueid_6743 x Kenya,No
uniqueid_6744 x Kenya,No
uniqueid_6745 x Kenya,No
uniqueid_6746 x Kenya,Yes
uniqueid_6747 x Kenya,No
uniqueid_6748 x Kenya,Yes
uniqueid_6749 x Kenya,No
uniqueid_6750 x Kenya,No
uniqueid_6751 x Kenya,No
uniqueid_6752 x Kenya,No
uniqueid_6753 x Kenya,No
uniqueid_6754 x Kenya,Yes
uniqueid_6755 x Kenya,No
uniqueid_6756 x Kenya,No
uniqueid_6757 x Kenya,No
uniqueid_6758 x Kenya,No
uniqueid_6759 x Kenya,No
uniqueid_6760 x Kenya,No
uniqueid_6761 x Kenya,No
uniqueid_6762 x Kenya,No
uniqueid_6763 x Kenya,No
uniqueid_6764 x Kenya,Yes
uniqueid_6765 x Kenya,No
uniqueid_6766 x Kenya,Yes
uniqueid_6767 x Kenya,No
uniqueid_6768 x Kenya,No
uniqueid_6769 x Kenya,No
uniqueid_6770 x Kenya,No
uniqueid_6771 x Kenya,Yes
uniqueid_6772 x Kenya,No
uniqueid_6773 x Kenya,Yes
uniqueid_6774 x Kenya,No
uniqueid_6775 x Kenya,No
uniqueid_6776 x Kenya,No
uniqueid_6777 x Kenya,No
uniqueid_6778 x Kenya,Yes
uniqueid_6779 x Kenya,No
uniqueid_6780 x Kenya,No
uniqueid_6781 x Kenya,No
uniqueid_6782 x Kenya,No
uniqueid_6783 x Kenya,No
uniqueid_6784 x Kenya,Yes
uniqueid_6785 x Kenya,No
uniqueid_6786 x Kenya,Yes
uniqueid_6787 x Kenya,No
uniqueid_6788 x Kenya,No
uniqueid_6789 x Kenya,No
uniqueid_6790 x Kenya,Yes
uniqueid_6791 x Kenya,No
uniqueid_6792 x Kenya,Yes
uniqueid_6793 x Kenya,No
uniqueid_6794 x Kenya,No
uniqueid_6795 x Kenya,Yes
uniqueid_6796 x Kenya,No
uniqueid_6797 x Kenya,No
uniqueid_6798 x Kenya,No
uniqueid_6799 x Kenya,No
uniqueid_6800 x Kenya,No
uniqueid_6801 x Kenya,No
uniqueid_6802 x Kenya,No
uniqueid_6803 x Kenya,No
uniqueid_6804 x Kenya,No
uniqueid_6805 x Kenya,No
uniqueid_6806 x Kenya,Yes
uniqueid_6807 x Kenya,No
uniqueid_6808 x Kenya,No
uniqueid_6809 x Kenya,Yes
uniqueid_6810 x Kenya,No
uniqueid_6811 x Kenya,No
uniqueid_6812 x Kenya,No
uniqueid_6813 x Kenya,No
uniqueid_6814 x Kenya,No
uniqueid_6815 x Kenya,Yes
uniqueid_6816 x Kenya,No
uniqueid_6817 x Kenya,No
uniqueid_6818 x Kenya,No
uniqueid_6819 x Kenya,Yes
uniqueid_6820 x Kenya,No
uniqueid_6821 x Kenya,Yes
uniqueid_6822 x Kenya,No
uniqueid_6823 x Kenya,No
uniqueid_6824 x Kenya,No
uniqueid_6825 x Kenya,No
uniqueid_6826 x Kenya,No
uniqueid_6827 x Kenya,No
uniqueid_6828 x Kenya,No
uniqueid_6829 x Kenya,No
uniqueid_6830 x Kenya,No
uniqueid_6831 x Kenya,No
uniqueid_6832 x Kenya,No
uniqueid_6833 x Kenya,No
uniqueid_6834 x Kenya,No
uniqueid_6835 x Kenya,No
uniqueid_6836 x Kenya,No
uniqueid_6837 x Kenya,No
uniqueid_6838 x Kenya,No
uniqueid_6839 x Kenya,No
uniqueid_6840 x Kenya,No
uniqueid_6841 x Kenya,No
uniqueid_6842 x Kenya,No
uniqueid_6843 x Kenya,No
uniqueid_6844 x Kenya,No
uniqueid_6845 x Kenya,No
uniqueid_6846 x Kenya,No
uniqueid_6847 x Kenya,No
uniqueid_6848 x Kenya,No
uniqueid_6849 x Kenya,Yes
uniqueid_6850 x Kenya,No
uniqueid_6851 x Kenya,No
uniqueid_6852 x Kenya,No
uniqueid_6853 x Kenya,No
uniqueid_6854 x Kenya,No
uniqueid_6855 x Kenya,No
uniqueid_6856 x Kenya,No
uniqueid_6857 x Kenya,No
uniqueid_6858 x Kenya,No
uniqueid_6859 x Kenya,No
uniqueid_6860 x Kenya,No
uniqueid_6861 x Kenya,No
uniqueid_6862 x Kenya,Yes
uniqueid_6863 x Kenya,No
uniqueid_6864 x Kenya,No
uniqueid_6865 x Kenya,No
uniqueid_6866 x Kenya,No
uniqueid_6867 x Kenya,Yes
uniqueid_6868 x Kenya,No
uniqueid_6869 x Kenya,No
uniqueid_6870 x Kenya,No
uniqueid_6871 x Kenya,Yes
uniqueid_6872 x Kenya,No
uniqueid_6873 x Kenya,Yes
uniqueid_6874 x Kenya,No
uniqueid_6875 x Kenya,No
uniqueid_6876 x Kenya,No
uniqueid_6877 x Kenya,No
uniqueid_6878 x Kenya,Yes
