unique_id,y_predicted
uniqueid_358-Kenya,Yes
uniqueid_359-Kenya,No
uniqueid_360-Kenya,No
uniqueid_361-Kenya,No
uniqueid_362-Kenya,No
uniqueid_363-Kenya,No
uniqueid_364-Kenya,No
uniqueid_365-Kenya,No
uniqueid_366-Kenya,No
uniqueid_367-Kenya,No
uniqueid_368-Kenya,No
uniqueid_369-Kenya,Yes
uniqueid_370-Kenya,No
uniqueid_371-Kenya,Yes
uniqueid_372-Kenya,No
uniqueid_373-Kenya,No
uniqueid_374-Kenya,No
uniqueid_375-Kenya,No
uniqueid_376-Kenya,Yes
uniqueid_377-Kenya,Yes
uniqueid_378-Kenya,No
uniqueid_379-Kenya,No
uniqueid_380-Kenya,No
uniqueid_381-Kenya,No
uniqueid_382-Kenya,No
uniqueid_383-Kenya,No
uniqueid_384-Kenya,Yes
uniqueid_385-Kenya,No
uniqueid_386-Kenya,No
uniqueid_387-Kenya,No
uniqueid_388-Kenya,No
uniqueid_389-Kenya,No
uniqueid_390-Kenya,No
uniqueid_391-Kenya,No
uniqueid_392-Kenya,No
uniqueid_393-Kenya,No
uniqueid_394-Kenya,No
uniqueid_395-Kenya,No
uniqueid_396-Kenya,No
uniqueid_397-Kenya,No
uniqueid_398-Kenya,Yes
uniqueid_399-Kenya,No
uniqueid_400-Kenya,Yes
uniqueid_401-Kenya,Yes
uniqueid_402-Kenya,No
uniqueid_403-Kenya,No
uniqueid_404-Kenya,Yes
uniqueid_405-Kenya,No
uniqueid_406-Kenya,No
uniqueid_407-Kenya,Yes
uniqueid_408-Kenya,Yes
uniqueid_409-Kenya,No
uniqueid_410-Kenya,No
uniqueid_411-Kenya,No
uniqueid_412-Kenya,No
uniqueid_413-Kenya,No
uniqueid_414-Kenya,No
uniqueid_415-Kenya,No
uniqueid_416-Kenya,No
uniqueid_417-Kenya,No
uniqueid_418-Kenya,No
uniqueid_419-Kenya,No
uniqueid_420-Kenya,No
uniqueid_421-Kenya,No
uniqueid_422-Kenya,No
uniqueid_423-Kenya,No
uniqueid_424-Kenya,Yes
uniqueid_425-Kenya,No
uniqueid_426-Kenya,No
uniqueid_427-Kenya,No
uniqueid_428-Kenya,No
uniqueid_429-Kenya,No
uniqueid_430-Kenya,No
uniqueid_431-Kenya,No
uniqueid_432-Kenya,No
uniqueid_433-Kenya,No
uniqueid_434-Kenya,No
uniqueid_435-Kenya,No
uniqueid_436-Kenya,No
uniqueid_437-Kenya,No
uniqueid_438-Kenya,No
uniqueid_439-Kenya,Yes
uniqueid_440-Kenya,No
uniqueid_441-Kenya,No
uniqueid_442-Kenya,No
uniqueid_443-Kenya,No
uniqueid_444-Kenya,No
uniqueid_445-Kenya,No
uniqueid_446-Kenya,No
uniqueid_447-Kenya,No
uniqueid_448-Kenya,No
uniqueid_449-Kenya,Yes
uniqueid_450-Kenya,No
uniqueid_451-Kenya,Yes
uniqueid_452-Kenya,No
uniqueid_453-Kenya,No
uniqueid_454-Kenya,No
uniqueid_455-Kenya,Yes
uniqueid_456-Kenya,No
uniqueid_457-Kenya,No
uniqueid_458-Kenya,No
uniqueid_459-Kenya,No
uniqueid_460-Kenya,No
uniqueid_461-Kenya,Yes
uniqueid_462-Kenya,No
uniqueid_463-Kenya,Yes
uniqueid_464-Kenya,No
uniqueid_465-Kenya,No
uniqueid_466-Kenya,No
uniqueid_467-Kenya,No
uniqueid_468-Kenya,No
uniqueid_469-Kenya,No
uniqueid_470-Kenya,No
uniqueid_471-Kenya,Yes
uniqueid_472-Kenya,No
uniqueid_473-Kenya,No
uniqueid_474-Kenya,No
uniqueid_475-Kenya,No
uniqueid_476-Kenya,No
uniqueid_477-Kenya,Yes
uniqueid_478-Kenya,No
uniqueid_479-Kenya,No
uniqueid_480-Kenya,Yes
uniqueid_481-Kenya,No
uniqueid_482-Kenya,Yes
uniqueid_483-Kenya,No
uniqueid_484-Kenya,No
uniqueid_485-Kenya,No
uniqueid_486-Kenya,No
uniqueid_487-Kenya,No
uniqueid_488-Kenya,No
uniqueid_489-Kenya,No
uniqueid_490-Kenya,No
uniqueid_491-Kenya,No
uniqueid_492-Kenya,No
uniqueid_493-Kenya,Yes
uniqueid_494-Kenya,No
uniqueid_495-Kenya,No
uniqueid_496-Kenya,No
uniqueid_497-Kenya,Yes
uniqueid_498-Kenya,No
uniqueid_499-Kenya,No
uniqueid_500-Kenya,No
uniqueid_501-Kenya,No
uniqueid_502-Kenya,Yes
uniqueid_503-Kenya,No
uniqueid_504-Kenya,No
uniqueid_505-Kenya,No
uniqueid_506-Kenya,No
uniqueid_507-Kenya,No
uniqueid_508-Kenya,No
uniqueid_509-Kenya,No
uniqueid_510-Kenya,No
uniqueid_511-Kenya,No
uniqueid_512-Kenya,Yes
uniqueid_513-Kenya,No
uniqueid_514-Kenya,No
uniqueid_515-Kenya,No
uniqueid_516-Kenya,No
uniqueid_517-Kenya,No
uniqueid_518-Kenya,No
uniqueid_519-Kenya,No
uniqueid_520-Kenya,No
uniqueid_521-Kenya,No
uniqueid_522-Kenya,No
uniqueid_523-Kenya,No
uniqueid_524-Kenya,No
uniqueid_525-Kenya,No
uniqueid_526-Kenya,No
uniqueid_527-Kenya,Yes
uniqueid_528-Kenya,No
uniqueid_529-Kenya,No
uniqueid_530-Kenya,No
uniqueid_531-Kenya,No
uniqueid_532-Kenya,No
uniqueid_533-Kenya,Yes
uniqueid_534-Kenya,Yes
uniqueid_535-Kenya,No
uniqueid_536-Kenya,No
uniqueid_537-Kenya,Yes
uniqueid_538-Kenya,No
uniqueid_539-Kenya,Yes
uniqueid_540-Kenya,No
uniqueid_541-Kenya,Yes
uniqueid_542-Kenya,No
uniqueid_543-Kenya,No
uniqueid_544-Kenya,No
uniqueid_545-Kenya,Yes
uniqueid_546-Kenya,No
uniqueid_547-Kenya,No
uniqueid_548-Kenya,No
uniqueid_549-Kenya,Yes
uniqueid_550-Kenya,No
uniqueid_551-Kenya,No
uniqueid_552-Kenya,No
uniqueid_553-Kenya,No
uniqueid_554-Kenya,No
uniqueid_555-Kenya,No
uniqueid_556-Kenya,No
uniqueid_557-Kenya,No
uniqueid_558-Kenya,No
uniqueid_559-Kenya,Yes
uniqueid_560-Kenya,No
uniqueid_561-Kenya,No
uniqueid_562-Kenya,No
uniqueid_563-Kenya,No
uniqueid_564-Kenya,No
uniqueid_565-Kenya,No
uniqueid_566-Kenya,Yes
uniqueid_567-Kenya,No
uniqueid_568-Kenya,No
uniqueid_569-Kenya,No
uniqueid_570-Kenya,No
uniqueid_571-Kenya,No
uniqueid_572-Kenya,No
uniqueid_573-Kenya,No
uniqueid_574-Kenya,No
uniqueid_575-Kenya,Yes
uniqueid_576-Kenya,No
uniqueid_577-Kenya,No
uniqueid_578-Kenya,No
uniqueid_579-Kenya,No
uniqueid_580-Kenya,Yes
uniqueid_581-Kenya,Yes
uniqueid_582-Kenya,No
uniqueid_583-Kenya,Yes
uniqueid_584-Kenya,No
uniqueid_585-Kenya,No
uniqueid_586-Kenya,No
uniqueid_587-Kenya,No
uniqueid_588-Kenya,No
uniqueid_589-Kenya,No
uniqueid_590-Kenya,Yes
uniqueid_591-Kenya,No
uniqueid_592-Kenya,Yes
uniqueid_593-Kenya,No
uniqueid_594-Kenya,No
uniqueid_595-Kenya,No
uniqueid_596-Kenya,Yes
uniqueid_597-Kenya,Yes
uniqueid_598-Kenya,No
uniqueid_599-Kenya,Yes
uniqueid_600-Kenya,No
uniqueid_601-Kenya,No
uniqueid_602-Kenya,No
uniqueid_603-Kenya,No
uniqueid_604-Kenya,No
uniqueid_605-Kenya,Yes
uniqueid_606-Kenya,No
uniqueid_607-Kenya,No
uniqueid_608-Kenya,No
uniqueid_609-Kenya,No
uniqueid_610-Kenya,No
uniqueid_611-Kenya,No
uniqueid_612-Kenya,No
uniqueid_613-Kenya,Yes
uniqueid_614-Kenya,Yes
uniqueid_615-Kenya,No
uniqueid_616-Kenya,No
uniqueid_617-Kenya,No
uniqueid_618-Kenya,No
uniqueid_619-Kenya,Yes
uniqueid_620-Kenya,No
uniqueid_621-Kenya,No
uniqueid_622-Kenya,No
uniqueid_623-Kenya,No
uniqueid_624-Kenya,No
uniqueid_625-Kenya,No
uniqueid_626-Kenya,No
uniqueid_627-Kenya,No
uniqueid_628-Kenya,Yes
uniqueid_629-Kenya,No
uniqueid_630-Kenya,No
uniqueid_631-Kenya,No
uniqueid_632-Kenya,No
uniqueid_633-Kenya,Yes
uniqueid_634-Kenya,Yes
uniqueid_635-Kenya,No
uniqueid_636-Kenya,No
uniqueid_637-Kenya,Yes
uniqueid_638-Kenya,No
uniqueid_639-Kenya,No
uniqueid_640-Kenya,No
uniqueid_641-Kenya,No
uniqueid_642-Kenya,No
uniqueid_643-Kenya,No
uniqueid_644-Kenya,No
uniqueid_645-Kenya,No
uniqueid_646-Kenya,No
uniqueid_647-Kenya,No
uniqueid_648-Kenya,No
uniqueid_649-Kenya,No
uniqueid_650-Kenya,No
uniqueid_651-Kenya,Yes
uniqueid_652-Kenya,No
uniqueid_653-Kenya,Yes
uniqueid_654-Kenya,Yes
uniqueid_655-Kenya,No
uniqueid_656-Kenya,Yes
uniqueid_657-Kenya,No
uniqueid_658-Kenya,No
uniqueid_659-Kenya,No
uniqueid_660-Kenya,No
uniqueid_661-Kenya,No
uniqueid_662-Kenya,No
uniqueid_663-Kenya,No
uniqueid_664-Kenya,No
uniqueid_665-Kenya,No
uniqueid_666-Kenya,No
uniqueid_667-Kenya,No
uniqueid_668-Kenya,No
uniqueid_669-Kenya,No
uniqueid_670-Kenya,No
uniqueid_671-Kenya,No
uniqueid_672-Kenya,No
uniqueid_673-Kenya,No
uniqueid_674-Kenya,No
uniqueid_675-Kenya,No
uniqueid_676-Kenya,No
uniqueid_677-Kenya,No
uniqueid_678-Kenya,No
uniqueid_679-Kenya,No
uniqueid_680-Kenya,No
uniqueid_681-Kenya,No
uniqueid_682-Kenya,No
uniqueid_683-Kenya,No
uniqueid_684-Kenya,No
uniqueid_685-Kenya,No
uniqueid_686-Kenya,No
uniqueid_687-Kenya,No
uniqueid_688-Kenya,No
uniqueid_689-Kenya,No
uniqueid_690-Kenya,No
uniqueid_691-Kenya,No
uniqueid_692-Kenya,No
uniqueid_693-Kenya,No
uniqueid_694-Kenya,No
uniqueid_695-Kenya,No
uniqueid_696-Kenya,Yes
uniqueid_697-Kenya,No
uniqueid_698-Kenya,No
uniqueid_699-Kenya,No
uniqueid_700-Kenya,No
uniqueid_701-Kenya,No
uniqueid_702-Kenya,No
uniqueid_703-Kenya,No
uniqueid_704-Kenya,No
uniqueid_705-Kenya,No
uniqueid_706-Kenya,Yes
uniqueid_707-Kenya,No
uniqueid_708-Kenya,No
uniqueid_709-Kenya,No
uniqueid_710-Kenya,No
uniqueid_711-Kenya,No
uniqueid_712-Kenya,No
uniqueid_713-Kenya,Yes
uniqueid_714-Kenya,No
uniqueid_715-Kenya,No
uniqueid_716-Kenya,No
uniqueid_717-Kenya,No
uniqueid_718-Kenya,No
uniqueid_719-Kenya,Yes
uniqueid_720-Kenya,No
uniqueid_721-Kenya,No
uniqueid_722-Kenya,No
uniqueid_723-Kenya,No
uniqueid_724-Kenya,No
uniqueid_725-Kenya,No
uniqueid_726-Kenya,No
uniqueid_727-Kenya,No
uniqueid_728-Kenya,No
uniqueid_729-Kenya,No
uniqueid_730-Kenya,Yes
uniqueid_731-Kenya,No
uniqueid_732-Kenya,No
uniqueid_733-Kenya,No
uniqueid_734-Kenya,No
uniqueid_735-Kenya,No
uniqueid_736-Kenya,No
uniqueid_737-Kenya,No
uniqueid_738-Kenya,No
uniqueid_739-Kenya,No
uniqueid_740-Kenya,Yes
uniqueid_741-Kenya,No
uniqueid_742-Kenya,No
uniqueid_743-Kenya,No
uniqueid_744-Kenya,Yes
uniqueid_745-Kenya,No
uniqueid_746-Kenya,No
uniqueid_747-Kenya,Yes
uniqueid_748-Kenya,No
uniqueid_749-Kenya,No
uniqueid_750-Kenya,No
uniqueid_751-Kenya,Yes
uniqueid_752-Kenya,No
uniqueid_753-Kenya,No
uniqueid_754-Kenya,Yes
uniqueid_755-Kenya,Yes
uniqueid_756-Kenya,No
uniqueid_757-Kenya,No
uniqueid_758-Kenya,Yes
uniqueid_759-Kenya,No
uniqueid_760-Kenya,No
uniqueid_761-Kenya,No
uniqueid_762-Kenya,No
uniqueid_763-Kenya,Yes
uniqueid_764-Kenya,No
uniqueid_765-Kenya,No
uniqueid_766-Kenya,No
uniqueid_767-Kenya,No
uniqueid_768-Kenya,Yes
uniqueid_769-Kenya,No
uniqueid_770-Kenya,No
uniqueid_771-Kenya,No
uniqueid_772-Kenya,No
uniqueid_773-Kenya,No
uniqueid_774-Kenya,No
uniqueid_775-Kenya,No
uniqueid_776-Kenya,No
uniqueid_777-Kenya,No
uniqueid_778-Kenya,No
uniqueid_779-Kenya,No
uniqueid_780-Kenya,No
uniqueid_781-Kenya,No
uniqueid_782-Kenya,No
uniqueid_783-Kenya,Yes
uniqueid_784-Kenya,No
uniqueid_785-Kenya,No
uniqueid_786-Kenya,No
uniqueid_787-Kenya,No
uniqueid_788-Kenya,No
uniqueid_789-Kenya,No
uniqueid_790-Kenya,No
uniqueid_791-Kenya,No
uniqueid_792-Kenya,Yes
uniqueid_793-Kenya,No
uniqueid_794-Kenya,No
uniqueid_795-Kenya,No
uniqueid_796-Kenya,No
uniqueid_797-Kenya,No
uniqueid_798-Kenya,No
uniqueid_799-Kenya,No
uniqueid_800-Kenya,No
uniqueid_801-Kenya,Yes
uniqueid_802-Kenya,No
uniqueid_803-Kenya,No
uniqueid_804-Kenya,No
uniqueid_805-Kenya,No
uniqueid_806-Kenya,No
uniqueid_807-Kenya,Yes
uniqueid_808-Kenya,Yes
uniqueid_809-Kenya,No
uniqueid_810-Kenya,Yes
uniqueid_811-Kenya,No
uniqueid_812-Kenya,No
uniqueid_813-Kenya,No
uniqueid_814-Kenya,No
uniqueid_815-Kenya,No
uniqueid_816-Kenya,No
uniqueid_817-Kenya,No
uniqueid_818-Kenya,No
uniqueid_819-Kenya,Yes
uniqueid_820-Kenya,Yes
uniqueid_821-Kenya,No
uniqueid_822-Kenya,No
uniqueid_823-Kenya,No
uniqueid_824-Kenya,No
uniqueid_825-Kenya,No
uniqueid_826-Kenya,No
uniqueid_827-Kenya,No
uniqueid_828-Kenya,No
uniqueid_829-Kenya,Yes
uniqueid_830-Kenya,No
uniqueid_831-Kenya,No
uniqueid_832-Kenya,No
uniqueid_833-Kenya,Yes
uniqueid_834-Kenya,No
uniqueid_835-Kenya,Yes
uniqueid_836-Kenya,No
uniqueid_837-Kenya,No
uniqueid_838-Kenya,No
uniqueid_839-Kenya,No
uniqueid_840-Kenya,Yes
uniqueid_841-Kenya,No
uniqueid_842-Kenya,No
uniqueid_843-Kenya,No
uniqueid_844-Kenya,No
uniqueid_845-Kenya,No
uniqueid_846-Kenya,No
uniqueid_847-Kenya,No
uniqueid_848-Kenya,No
uniqueid_849-Kenya,No
uniqueid_850-Kenya,Yes
uniqueid_851-Kenya,Yes
uniqueid_852-Kenya,No
uniqueid_853-Kenya,No
uniqueid_854-Kenya,No
uniqueid_855-Kenya,No
uniqueid_856-Kenya,No
uniqueid_857-Kenya,No
uniqueid_858-Kenya,No
uniqueid_859-Kenya,No
uniqueid_860-Kenya,No
uniqueid_861-Kenya,Yes
uniqueid_862-Kenya,No
uniqueid_863-Kenya,No
uniqueid_864-Kenya,No
uniqueid_865-Kenya,Yes
uniqueid_866-Kenya,No
uniqueid_867-Kenya,Yes
uniqueid_868-Kenya,No
uniqueid_869-Kenya,No
uniqueid_870-Kenya,No
uniqueid_871-Kenya,No
uniqueid_872-Kenya,No
uniqueid_873-Kenya,No
uniqueid_874-Kenya,No
uniqueid_875-Kenya,Yes
uniqueid_876-Kenya,No
uniqueid_877-Kenya,No
uniqueid_878-Kenya,No
uniqueid_879-Kenya,No
uniqueid_880-Kenya,No
uniqueid_881-Kenya,No
uniqueid_882-Kenya,No
uniqueid_883-Kenya,No
uniqueid_884-Kenya,Yes
uniqueid_885-Kenya,No
uniqueid_886-Kenya,No
uniqueid_887-Kenya,No
uniqueid_888-Kenya,No
uniqueid_889-Kenya,No
uniqueid_890-Kenya,No
uniqueid_891-Kenya,No
uniqueid_892-Kenya,No
uniqueid_893-Kenya,No
uniqueid_894-Kenya,No
uniqueid_895-Kenya,No
uniqueid_896-Kenya,No
uniqueid_897-Kenya,Yes
uniqueid_898-Kenya,No
uniqueid_899-Kenya,No
uniqueid_900-Kenya,Yes
uniqueid_901-Kenya,No
uniqueid_902-Kenya,No
uniqueid_903-Kenya,No
uniqueid_904-Kenya,No
uniqueid_905-Kenya,No
uniqueid_906-Kenya,No
uniqueid_907-Kenya,No
uniqueid_908-Kenya,No
uniqueid_909-Kenya,No
uniqueid_910-Kenya,No
uniqueid_911-Kenya,No
uniqueid_912-Kenya,Yes
